homestay_id,destination_id,homestay_name,province,district,municipality,latitude,longitude,price_per_night,rating,review_count,review,room_type,max_guests,amenities,best_season,description,phone,booking_url,image_url
H1_01,1,Phewa lake Pokhara,Gandaki,Kaski,,28.2153837,83.907208,,4.9,8,"Beautiful and serene, and close to the Pokhara market, so can be a combined visit",,,,,"6W8W+544 Phewa Lake, Pokhara 33700, Nepal",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn1Y0T5wfCD6xPFuaDReRFL7x_cX7rvPTRmNGlbrdccfo5A2fS0t_XpUKBe34POc4Ffs-jfHFzpqBMhuYaZZrPVIx5A6fXbZGYowHCVZaQ7JBJ2YTAT13idBzhQOqaAxL-ADyijAqkJWBc=w408-h544-k-no
H1_02,1,Dhunge ghar lakeview Camping & Homestay.,Gandaki,Kaski,,28.234139,83.861709,,4.8,19,Good for gathering party and picnic.nice Annapurna south and lake view.,,,,,"6VMX+MW4, Fewa Rd, Pokhara 33700, Nepal",+977 980-5125320,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlqRk8KwEpQCLG_th239eEV9TJ1Ke4axiJ_tIJu504Ea90Ft1WTJGTgXMYPlACUC8xQUJaiQR9HNf7p4HjczOyAwKRMq52CmF5DANLIsEm9fqExzqFzjSwA1SrZfiLf7hiSLZ7TFI3_uzYH=w408-h544-k-no
H1_03,1,Shanti Cottage Managed By Shanti Guest House Group - Double Room with Mountain View,Gandaki,Kaski,,28.2241993,83.916565,,,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/68e3dc03f93025efadaa5956?dest=nuit&cat=Bed+and+breakfast&lat=28.2242&lng=83.95467&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHbHRsyzkDryYauAjBQX_Ca2CjmcmSvwBpd-kB_g_hrO6z9J26d3uyaeDToSWEyyXLp2WfEuvuBjYQA0WoLI2Y0cRy5yWUnAQmc-WuEc2_gUtS8MTfogdGblBXGoSnEMx6LrZ7xWouAoj0q_a4fHV7jJDRMdIz3K_7kiTHAuhJLoHbdi4yHCtmK=w408-h272-k-no
H1_04,1,Pushpa Guest House - Basic Double or Twin Room,Gandaki,Kaski,,28.21035,83.9195709,,4.7,,,,,,,"Pokhara 33700, Nepal",,https://www.freecancellations.com/search/F2cjQQEBHXQHV1BVXlkEEggLD01pRFAU?lat=28.21035&lng=83.95768&language=de,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHxsKXaYGg8mm_vNA0c5BjiAznjGr9Lgcp86oG0uRCWNibQ0R8-IGH4Jfp2TDqVqzwe4CSNTXP1s42eI4v60RGYLnVvAzcDI1Ufe1fClNNtWA-uQhG8efSh3wKNbITZSjkCsOPRJzvZT-OVfhFOHoC3HX1bMMqyKreOjEhZEK3Hulzz8bBPaG0=w408-h272-k-no
H1_05,1,My beautiful cottage in pokhara - Superior Studio,Gandaki,Kaski,,28.2250901,83.9127731,,5.0,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/5b80d1407c00cb256478b608/397596404?dest=bkng&cat=House&lat=28.22509&lng=83.95088&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHF32XlY03l97lp-jNHj31Cgbm90-iqv8xUqh7N_K3HDLcx3LPyu_xilU7NX1jHJTy0AaIBFXPRr722ejSAsr1wwhzkA8hwYeVhjDfxL9lh3-rhBw_XUvfynGtT2nBNjPlSy5Z5Jyeqw1B0C3_C8Vi_6lYJgBDukRJ6xwEQJQ3pjFYy14bqIaTu=w408-h306-k-no
H2_02,2,Memorial Lake View Lodge - Double Room With Lake View,Gandaki,Kaski,,28.2328606,83.8845596,,,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/68e3dc8bf93025efadab4e60?dest=nuit&cat=Bed+and+breakfast&lat=28.23286&lng=83.92267&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHUYNYq48pr2UbA3KvhFfPTBO8Hp2e5_GpqKCUmfZlLaA8Bl8eFSgo7ebGKs3-uju8poBJBKumiQ47a7KmMxOxScjjlZD7IgkhwW1cnObAt0wy2EQ3ElNcrMtrXBlAUK8uvYqYx8KR-IDzmgV7cVMxyfKDvR9Cgy5pvi542aN5FNDZ0uchgQrCXdg=w408-h306-k-no
H2_03,2,My beautiful cottage in pokhara - Superior Studio,Gandaki,Kaski,,28.2250901,83.9127731,,5.0,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/5b80d1407c00cb256478b608/397596404?dest=bkng&cat=House&lat=28.22509&lng=83.95088&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHF32XlY03l97lp-jNHj31Cgbm90-iqv8xUqh7N_K3HDLcx3LPyu_xilU7NX1jHJTy0AaIBFXPRr722ejSAsr1wwhzkA8hwYeVhjDfxL9lh3-rhBw_XUvfynGtT2nBNjPlSy5Z5Jyeqw1B0C3_C8Vi_6lYJgBDukRJ6xwEQJQ3pjFYy14bqIaTu=w408-h306-k-no
H2_04,2,Shanti Cottage Managed By Shanti Guest House Group - Double Room with Mountain View,Gandaki,Kaski,,28.2241993,83.916565,,,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/68e3dc03f93025efadaa5956?dest=nuit&cat=Bed+and+breakfast&lat=28.2242&lng=83.95467&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHbHRsyzkDryYauAjBQX_Ca2CjmcmSvwBpd-kB_g_hrO6z9J26d3uyaeDToSWEyyXLp2WfEuvuBjYQA0WoLI2Y0cRy5yWUnAQmc-WuEc2_gUtS8MTfogdGblBXGoSnEMx6LrZ7xWouAoj0q_a4fHV7jJDRMdIz3K_7kiTHAuhJLoHbdi4yHCtmK=w408-h272-k-no
H2_05,2,Nanohana Lodge - Budget Double Room,Gandaki,Kaski,,28.2040291,83.9279404,,5.0,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/59437fb97c00cb0e6430a731/116535202?dest=bkng&cat=House&lat=28.20403&lng=83.96605&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFhVnxQPbbG-Gj05HsnB-ozw5d_IdzKbhSibX8Q7UQfpCXTsh_IaNYLKdB1Sz5TeOMceyxxrUzOa0U5gavOe8lEegNaOLZwBq5gaHrLkpbZl7epCN5_bvQz4g-ncw01-IuIgi55GGaoQIatNzCNInLmlLx4lZxeJAcAM6zqfSGzSKBAL4T6X12s4A=w408-h305-k-no
H3_01,3,Annapurna Guesthouse,Gandaki,Kaski,,28.5306624,83.7260023,,4.5,26,"Annapurna Guest House - A Memorable Experience
Our stay at Annapurna Guest House was truly exceptional. The ambiance was very pleasant, providing a comfortable and peaceful environment. The rooms were clean …",,,,,"GVJH+798, Ghandruk 33700, Nepal",+977 984-6063557,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm3Laf3N9I46Wbh2V3CewT--C4zwhqPNyRTx6-gPAvK2I9nnD4kyoz1-TenUfO8e5CU7CVFfL_yHTBL596cuz41_F37EmqDCmbk6H3VpEfHFxy64MJxMYak776B_lV5DFHPUPQh=w408-h306-k-no
