homestay_id,destination_id,homestay_name,province,district,municipality,latitude,longitude,price_per_night,rating,review_count,review,room_type,max_guests,amenities,best_season,description,phone,booking_url,image_url
H1_02,1,Dhunge ghar lakeview Camping & Homestay.,Gandaki,Kaski,,28.234139,83.8236001,,4.8,19,Good for gathering party and picnic.nice Annapurna south and lake view.,,,,,"6VMX+MW4, Fewa Rd, Pokhara 33700, Nepal",+977 980-5125320,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlqRk8KwEpQCLG_th239eEV9TJ1Ke4axiJ_tIJu504Ea90Ft1WTJGTgXMYPlACUC8xQUJaiQR9HNf7p4HjczOyAwKRMq52CmF5DANLIsEm9fqExzqFzjSwA1SrZfiLf7hiSLZ7TFI3_uzYH=w408-h544-k-no
H1_03,1,Lake Lovers cafe & homestay,Gandaki,Kaski,,28.2153837,83.8690991,,4.9,68,,,,,,"Sedi Heights 18, Pokhara 33700, Nepal",+977 981-7127540,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlN-kN78lhqpwxd-NdYRmMAXN95YsZvNMAdhGVUe7cZDVFI_0oi1KXXHXg0H2Xxn3JHL9zoYzWnr3MiZoldMCyA3r_JqloTg_F-4J3IMRyfduImQmUmEIWBhKeLqCVQNnEQVoscHnSYKk7S=w408-h544-k-no
H1_04,1,The North Face Inn's Homestay,Gandaki,Kaski,,28.2153837,83.8690991,,5.0,33,,,,,,"Batas Marg, Pokhara 33700, Nepal",+977 984-6033087,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmlntWe3EanXwY4MjR5zfhPdfggxNRqAZ3IWeeslj2P5-ZFxagohFQa73-OW5Ay2UD5BWUcxGqUZN1Vmo6XJcexqgYcxo2QjzxFLx5-P3MAjge8kByv606AuVaKTeIuza8WxUE=w408-h306-k-no
H1_05,1,Barang Village Community Homestay,Gandaki,Kaski,,28.2327896,83.7839866,,4.9,77,"It was one of the best experiences I’ve had in Nepal; the family are lovely, and they did everything they could to make me feel comfortable and at home. The food is delicious, and you’ll want to stay longer because the place offers incredible views of the Himalayas and has such a peaceful atmosphere.",,,,,"Pokhara 23 Barang, Pokhara 33700, Nepal",+977 980-6595884,https://baranghomestay.com/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk1mtRXcNlJ9DQuqeHzxAEBT1C-iOoRAPU5-NgS-0mmspKWuQP2uU4HnlOxAMZg-Wd_YsS2wQ3A3yMdYUhhzIrIzqR7kJS67TePzqj5h5dpt_Ag0jsktPc17wXM6VIuWDPh7Xp-qU6ciJXh=w408-h544-k-no
H2_02,2,Lake View Lodge Sarangkot - Small Double Room,Gandaki,Kaski,,28.2441692,83.9105912,,5.0,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/5d96c623e24da41074d619e2?dest=bkng&cat=House&lat=28.24417&lng=83.9487&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFZfxHpr9qMYe5m7QxekD7ex024XdZx0aLN4tVS_t8xy71QViKW_z4tCar2IXIaOj3AgjKrrXILIwARaem7yE0fgABMXNLttu1VyqL-HeHqg2HFieFTC5yaHYdUazAaaC1kV-8u_t28B7SpLcDN-oMl2b87g0g_97wbEtzuzKVEYDGWf3vDivsoVw=w408-h332-k-no
H2_03,2,Thapa Home Stay - Entire Place,Gandaki,Kaski,,28.2438469,83.9104614,,1.3,,,,,,,"Pokhara 33700, Nepal",,https://www.booking.com/hotel/np/thapa-home-stay-pokhara.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-10021605&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-10021605_grp-1_gendate-20260711,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFH22vrXUf3K6TdQiJuqGGZcTGas1pzKySaVipRt0QsinJzcMg9sK_m-1RSiSe2TG9tZAF0TmdWPjB94T0JxRWMghSvbLLEWc3MSOolWodPMDJO4I69pXXCp66Zx7f-6NXkD6ZFEfnNCIA5bGruwqNwVAcrm1lstjKLcZfKBvIGmGgNG0uHsHMa4A=w437-h240-k-no
H2_04,2,Panoramic View Guest House Sarangkot - Deluxe Double Room,Gandaki,Kaski,,28.2429008,83.9100647,,4.8,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/654cb1203011da1e8b78d3cb/1085404103?dest=bkng&cat=House&lat=28.2429&lng=83.94817&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGqiDNSFdvt7JFvwLDwvYPLSsCpUB17RfGO5W6nqokO46sUbG_oLhemYQzKDqBGlRP3pcsDwJ-ofqNupIUGw5VaGyHQ9jBV-ih3qjQEJP9-jZobbonGLUQJ1vndVSrNtU3kCQirH94X_xeHtFMyfVkpBbI4lBr2PXs7amjRld0SHDrrAEYnfHbSnQ=w408-h305-k-no
H2_05,2,The Superview Lodge,Gandaki,Kaski,,28.2445793,83.9106217,,,,,,,,,"Pokhara 33700, Nepal",,https://br.bluepillow.com/search/62866038f679d12a3a4217c4?dest=ago&cat=aprtment&lat=28.24458&lng=83.94873&language=pt,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGKibY4raqwsRP_Uiuk8uSC-kxDPE-mwPwELJ5Bwos2vNTKM0A-OCNTxmPINQOtYtg-qMJwtIfUVyHkCMXFc24aIExkJEfPYEnSMaayetreBFdVEXxKZBgrC596RQ7ou2IX3hB1AcDbGXzJIH6dVK7mDjtU2yLpsIhFEpssSpTNkpeJ24T-BX3p=w408-h305-k-no
H3_01,3,Annapurna Guesthouse,Gandaki,Kaski,,28.5306624,83.7260023,,4.5,26,"Annapurna Guest House - A Memorable Experience
Our stay at Annapurna Guest House was truly exceptional. The ambiance was very pleasant, providing a comfortable and peaceful environment. The rooms were clean …",,,,,"GVJH+798, Ghandruk 33700, Nepal",+977 984-6063557,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm3Laf3N9I46Wbh2V3CewT--C4zwhqPNyRTx6-gPAvK2I9nnD4kyoz1-TenUfO8e5CU7CVFfL_yHTBL596cuz41_F37EmqDCmbk6H3VpEfHFxy64MJxMYak776B_lV5DFHPUPQh=w408-h306-k-no
H3_02,3,Annapurna Guesthouse,Gandaki,Kaski,,28.5306624,83.7260023,,4.5,26,"Annapurna Guest House - A Memorable Experience
Our stay at Annapurna Guest House was truly exceptional. The ambiance was very pleasant, providing a comfortable and peaceful environment. The rooms were clean …",,,,,"GVJH+798, Ghandruk 33700, Nepal",+977 984-6063557,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm3Laf3N9I46Wbh2V3CewT--C4zwhqPNyRTx6-gPAvK2I9nnD4kyoz1-TenUfO8e5CU7CVFfL_yHTBL596cuz41_F37EmqDCmbk6H3VpEfHFxy64MJxMYak776B_lV5DFHPUPQh=w408-h306-k-no
